,center_index,t_mean,t_std,t_count,t_sem,t_sem_check,x,y
6748,421000_-906000,2236.8705882352942,3.2741019199698926,17,0.7940863555925557,0.7940863555925557,421000,-906000
6749,421000_-909000,2625.061111111111,11.520275001540137,9,3.8400916671800456,3.8400916671800456,421000,-909000
6750,421000_-910500,2491.5335,2.9245427442863594,20,0.6539476379328084,0.6539476379328084,421000,-910500
6751,421000_-911000,2495.269210526316,3.0747026941121853,38,0.498782640593463,0.498782640593463,421000,-911000
6752,421000_-911500,2492.626923076923,4.463231984065911,13,1.2378778286800398,1.2378778286800398,421000,-911500
6753,421000_-912000,2437.613076923077,0.2987302187419445,13,0.08285285547728112,0.08285285547728112,421000,-912000
6754,421000_-912500,2438.725,0.36478304054142585,16,0.09119576013535646,0.09119576013535646,421000,-912500
6755,421000_-916500,3211.71,37.131681094573274,45,5.535264203087309,5.535264203087309,421000,-916500
6756,421000_-917000,3282.157232142857,42.702093967473054,112,4.034968610701613,4.034968610701613,421000,-917000
6757,421000_-917500,3307.2218181818184,3.584711475647125,11,1.0808311769457037,1.0808311769457037,421000,-917500
6758,421000_-922500,2687.97,2.3400000000000056,3,1.3509996299037277,1.3509996299037277,421000,-922500
6759,421000_-923000,2642.8880952380955,23.452579947427534,21,5.117772516718578,5.117772516718578,421000,-923000
6760,421000_-923500,2592.651428571429,5.518394780403395,7,2.085757175032039,2.085757175032039,421000,-923500
6761,421000_-925500,2418.6045945945943,30.92492186234592,37,5.084025836666973,5.084025836666973,421000,-925500
6762,421000_-926000,2419.7965384615386,15.429552668125659,26,3.02598423618386,3.02598423618386,421000,-926000
6763,421000_-926500,2447.5821052631577,5.1952035346157865,19,1.191861431500817,1.191861431500817,421000,-926500
6764,421000_-927000,2456.8915384615384,1.4406702499983162,13,0.39957003518495793,0.39957003518495793,421000,-927000
6765,421000_-928500,2544.6988235294116,16.23060491877631,17,3.936499908693193,3.936499908693193,421000,-928500
6766,421000_-929000,2199.325333333333,50.899803236592376,15,13.14227268403711,13.14227268403711,421000,-929000
6767,421000_-929500,2292.4842857142858,58.2272859265623,14,15.561896749922871,15.561896749922871,421000,-929500
6768,421000_-932000,1494.52,0.5515432893254074,2,0.3899999999999295,0.3899999999999295,421000,-932000
6769,421000_-932500,1485.671818181818,5.63851942434382,22,1.2021363804551266,1.2021363804551266,421000,-932500
6770,421000_-933000,1693.0842105263157,96.82002067500683,19,22.212036096519654,22.212036096519654,421000,-933000
6771,421000_-933500,1714.13125,4.507642214432413,16,1.1269105536081032,1.1269105536081032,421000,-933500
6772,421000_-937500,813.063,25.239654888466433,10,7.981479680415703,7.981479680415703,421000,-937500
6773,421000_-938000,886.454375,22.56346130916087,16,5.640865327290218,5.640865327290218,421000,-938000
6774,421000_-939500,776.8877777777777,20.398891021833304,36,3.399815170305551,3.399815170305551,421000,-939500
6775,421000_-940000,741.6305555555556,7.940616713508322,18,1.871621308308324,1.871621308308324,421000,-940000
6776,421000_-941000,589.1917647058824,30.216954105951437,17,7.32868785078112,7.32868785078112,421000,-941000
6777,421000_-941500,480.37399999999997,11.261923903134866,5,5.036485480967863,5.036485480967863,421000,-941500
6778,421000_-942000,438.44928571428574,11.355061537810915,14,3.034767848587349,3.034767848587349,421000,-942000
6779,421000_-984500,202.15857142857143,13.610193010443025,35,2.300542506090448,2.300542506090448,421000,-984500
6780,421000_-985000,168.33363636363637,2.7262475042712886,11,0.8219945506646086,0.8219945506646086,421000,-985000
6781,421500_-803500,1771.7264705882353,51.10822315699012,17,12.395564847876985,12.395564847876985,421500,-803500
6782,421500_-815500,1605.6505882352942,36.756570751123526,17,8.914777861315939,8.914777861315939,421500,-815500
6783,421500_-837000,1544.2717647058823,14.058506426401685,17,3.4096886432046363,3.4096886432046363,421500,-837000
6784,421500_-841000,1204.3241176470588,34.527391853936614,17,8.374122564168909,8.374122564168909,421500,-841000
6785,421500_-851000,1263.3228571428572,4.907208012321129,7,1.8547502903236128,1.8547502903236128,421500,-851000
6786,421500_-851500,1291.716,12.11996499908091,20,2.7101065622863088,2.7101065622863088,421500,-851500
6787,421500_-852000,1293.7371428571428,4.2492654827461065,7,1.6060713888624316,1.6060713888624316,421500,-852000
6788,421500_-852500,1305.7666666666667,2.200823537320533,12,0.6353230308554372,0.6353230308554372,421500,-852500
6789,421500_-853000,1329.2594117647059,10.673344995002841,17,2.58866639959143,2.58866639959143,421500,-853000
