lon,lat,x,y,s,t,b,b_inferred,source,VX,VY,ERRX,ERRY,xflux,yflux,xflux_err,yflux_err,source_age
147.929897,-81.903875,467810.4487478389,-746618.9134753926,2168.15,1728.76,439.39,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-9.86789003393304,-33.37367258185543,0.14414908979580507,0.1678745098424544,-17059.213575062084,-57695.07021260839,249.19918047539596,290.2147376352414,6
147.862471,-81.894388,469239.7185862249,-746944.9171161107,2167.65,1751.51,416.14,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-9.262386288859796,-33.401449047563894,0.14792685973164932,0.1721919675361967,-16223.16220880082,-58502.972021298636,259.0953740885811,301.5959530593239,6
150.074167,-81.525936,460136.6072938559,-799367.8480326446,1907.05,1577.75,329.3,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-19.77968938195721,-30.0538254666528,0.2462252079214135,0.338108185495389,-31207.404922382986,-47417.423130011455,388.4818217980102,533.45018966535,6
149.999953,-81.53373,460745.977632338,-798033.9308358977,1904.57,1649.75,254.82,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-20.35090221521592,-32.83953676810335,0.22608382567197138,0.31554187426674296,-33573.90092955247,-54177.025783178506,372.9817914023348,520.5652070715591,6
149.924087,-81.541185,461394.195852124,-796718.5234109369,1934.78,1486.18,448.6,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-23.324106844707142,-33.08852558493987,0.21305018772632084,0.3008103698632137,-34663.82111046686,-49175.50495382594,316.6309279951035,447.05835548331095,6
149.848039,-81.548617,462043.53129626624,-795403.5107993421,1945.81,1454.36,491.45,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-24.70778596276176,-32.61376177975983,0.3450389721816423,0.4976433189145099,-35934.01559280219,-47432.1505820115,501.81087958209326,723.7525372965066,6
149.77213,-81.556094,462685.79241432296,-794085.061581125,1942.53,1412.4,530.14,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-26.24203556367963,-32.577261221530186,0.31098187500593055,0.4464977173478805,-37064.25103014111,-46012.12374928924,439.23080025837635,630.6333759821465,6
149.695955,-81.563527,463331.4809027093,-792768.3124352506,1951.47,1422.22,529.25,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-25.607581026562922,-32.05198977801752,0.2012473138588967,0.277257501723953,-36419.61388759832,-45584.98090209208,286.2179547164001,394.32116410184045,6
149.620063,-81.571034,463966.4938527109,-791446.5769482054,1965.54,1368.07,597.47,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-25.505887310521103,-33.35560985653397,0.17815874627424103,0.23115526346068968,-34893.8392529046,-45632.80917642842,243.73363601540092,316.2365812826657,6
149.545864,-81.578911,464554.9936840218,-790103.4504367345,1971.35,1532.3,439.04,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-25.240349799495156,-33.44328042586862,0.17722025018170365,0.22237051870560925,-38675.78799776643,-51245.138596558485,271.5545893534245,340.7383458126051,6
149.568737,-81.576436,464376.4553481554,-790521.9169318869,1976.72,1536.72,440.0,False,NASA_2011_ICEBRIDGE_AIR_BM2.csv,-25.285945767366456,-33.530278603231906,0.17756548102865008,0.2247703607083051,-38857.41857962738,-51526.649735158535,272.86842600634714,345.40910870766663,6
